Australia & New Zealand Stores Breakdown,,,,,,,,UK Stores Breakdown,,,,,,,,,,,,,,,,
Brand,Country,State/Territory,Location,Area Type,Brand Overlap,Status (Draft),,Country,Location,Status,,,UK Stores Breakdown,,,,,,States,,,,ANZ Store Brand Breakdown,
Nick Scali,Australia,South Australia,Gepps Cross,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,South Australia,Glynde,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,South Australia,Glynde Clearance,Urban,No,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,South Australia,Keswick,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,South Australia,Marion,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Tasmania,Hobart,Regional,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Chirnside,Regional,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Craigieburn,Urban,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Dandenong Clearance,Urban,No,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Essendon,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Frankston,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Frankston Clearance,Urban,No,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Geelong,Regional,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Maribyrnong,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Moorabbin,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Nunawading,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Nunawading Clearance,Urban,No,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Preston,Urban,No,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Richmond,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Shepparton,Regional,No,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,South Wharf,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Springvale,Urban,No,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Victoria,Taylors Lakes,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Western Australia,Cannington,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Western Australia,Jandakot,Urban,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Western Australia,Joondalup,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Western Australia,Midland,Urban,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Western Australia,O’Connor,Urban,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Western Australia,Osborne Park,Urban,Yes,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,Australia,Western Australia,Osborne Park Clearance,Urban,No,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,New Zealand,New Zealand,Hamilton,Regional,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,New Zealand,New Zealand,Hastings,Regional,No,At Risk,,,,,,,,,,,,,,,,,,
Nick Scali,New Zealand,New Zealand,Mt Wellington,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,New Zealand,New Zealand,St Lukes,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Nick Scali,New Zealand,New Zealand,Wairau Park,Urban,No,Stable,,,,,,,,,,,,,,,,,,
Nick Scali,New Zealand,New Zealand,Wairau Park Clearance,Urban,No,At Risk,,,,,,,,,,,,,,,,,,
Plush,Australia,Australian Capital Territory,Fyshwick,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Albury,Regional,No,At Risk,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Alexandria,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Artarmon,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Auburn,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Belrose,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Campbelltown,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Caringbah,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Castle Hill,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Crossroads,Urban,No,Stable,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Newcastle,Regional,No,Stable,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Prospect,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Rutherford,Regional,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,Warrawong,Regional,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,New South Wales,West Gosford,Regional,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,Aspley,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,Bundall,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,Capalaba,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,Fortitude Valley,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,Helensvale,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,Jindalee,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,Logan,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,Maroochydore,Regional,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,North Lakes,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,Toowoomba,Regional,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Queensland,Townsville,Regional,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,South Australia,Gepps Cross,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,South Australia,Glynde,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,South Australia,Marion,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,South Australia,Mile End,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Ballarat,Regional,No,Stable,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Dandenong,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Frankston,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Geelong,Regional,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Knox,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Maribyrnong,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Moorabbin,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Nunawading,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Preston/Northland,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Shepparton,Regional,No,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Springvale,Urban,No,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Victoria,Taylors Lakes,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Western Australia,Joondalup,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
Plush,Australia,Western Australia,Osborne Park,Urban,Yes,Growth Potential,,,,,,,,,,,,,,,,,,
